what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1350772941700
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350772943754
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350772964975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350772995824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1350772997718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1350772998047
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1350772998302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350772999320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350775938318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350775939286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350776067631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350776069349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350778653355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350778655066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350779904595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350779907350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350779909162
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350779909524
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1350779911657
